wgs_id,cip
SRR11699036,FALSE
SRR11699049,FALSE
SRR11699053,FALSE
SRR16643995,FALSE
SRR16644271,FALSE
SRR16999496,FALSE
SRR16644138,FALSE
SRR16999379,FALSE
SRR12612410,FALSE
SRR16643965,FALSE
SRR16643975,FALSE
SRR16643986,FALSE
SRR16644055,FALSE
SRR16644269,FALSE
SRR16644458,FALSE
SRR11698881,FALSE
SRR16644389,FALSE
SRR16643917,FALSE
SRR16999524,FALSE
SRR16999581,FALSE
SRR16644331,FALSE
SRR16644107,FALSE
SRR16644372,FALSE
SRR16644118,FALSE
SRR16644623,FALSE
SRR16999468,FALSE
SRR16999336,FALSE
SRR11724258,FALSE
SRR11724316,FALSE
SRR16999382,FALSE
SRR11698255,FALSE
SRR11698783,FALSE
SRR16999350,FALSE
SRR16644033,FALSE
SRR16644449,FALSE
SRR16644651,FALSE
SRR16999623,FALSE
SRR16644075,FALSE
SRR16644014,FALSE
SRR11724295,FALSE
SRR16644534,FALSE
SRR16644603,FALSE
SRR16643934,FALSE
SRR16999317,FALSE
SRR11724645,FALSE
SRR12612688,FALSE
SRR16644553,FALSE
SRR16644621,FALSE
SRR11724317,FALSE
SRR11724822,FALSE
SRR11724823,FALSE
SRR16644206,FALSE
SRR16999671,FALSE
SRR16643977,FALSE
SRR16644467,FALSE
SRR16644636,FALSE
SRR16643928,FALSE
SRR16644359,FALSE
SRR11724705,FALSE
SRR16644691,FALSE
SRR16999548,FALSE
SRR16644434,FALSE
SRR16644573,FALSE
SRR16999374,FALSE
SRR16999731,FALSE
SRR16999679,FALSE
SRR11698693,FALSE
SRR11724800,FALSE
SRR16999630,FALSE
SRR16643895,FALSE
SRR16644713,FALSE
SRR16644288,FALSE
SRR16999693,FALSE
SRR16643992,FALSE
SRR16999521,FALSE
SRR16999708,FALSE
SRR16644303,FALSE
SRR16644306,FALSE
SRR16644663,FALSE
SRR16999377,FALSE
SRR16644176,FALSE
SRR16644250,FALSE
SRR16999384,FALSE
SRR16644540,FALSE
SRR11698952,FALSE
SRR11724912,FALSE
SRR12612717,FALSE
SRR16644638,FALSE
SRR11724446,FALSE
SRR16999473,FALSE
SRR11725050,FALSE
SRR16999563,FALSE
SRR16999459,FALSE
SRR16999685,FALSE
SRR16999519,FALSE
SRR16643933,FALSE
SRR16644368,FALSE
SRR11725048,FALSE
SRR11725144,FALSE
SRR16644123,FALSE
SRR16999311,FALSE
